Month,Salaries and Wages,Interest,Pension,Samurdhi,Other,Total
2015- Jan,41189,77776,11740,2960,30115,163780
2015- Feb,46512,25269,11738,2909,28433,114861
2015- Mar,46558,40493,11934,2908,30407,132300
2015- Apr,47141,24915,12600,3660,23278,111594
2015- May,47270,32633,12390,3660,34344,130297
2015- Jun,42085,36932,13483,3514,20496,116510
2015- Jul,48861,89674,13129,3507,29699,184870
2015- Aug,49339,32927,14403,3500,30151,130320
2015- Sep,45809,41716,13533,3412,24085,128555
2015- Oct,49802,31339,13638,3486,19697,117962
2015- Nov,49900,40037,13245,3476,40526,147184
2015- Dec,47264,35964,13487,3002,123708,223425
2016- Jan,44891,81025,13880,3464,25399,168659
2016- Feb,47160,30536,13294,3445,26623,121058
2016- Mar,47188,42753,13717,3436,29698,136792
2016- Apr,49365,42362,15117,3472,22872,133188
2016- May,47292,47690,14165,3336,28140,140623
2016- Jun,52791,45341,14474,3386,19225,135217
2016- Jul,42789,80726,14747,3393,29566,171221
2016- Aug,47464,44152,14136,3397,43581,152730
2016- Sep,47633,57158,14957,3366,25745,148859
2016- Oct,50138,35955,14500,3351,31423,135367
2016- Nov,49124,51101,14859,3343,28839,147266
2016- Dec,50636,52095,14057,3351,46662,166802
2017- Jan,48524,113615,14467,3337,22819,202762
2017- Feb,49374,37550,14856,3332,25554,130666
2017- Mar,49626,57869,14852,3321,25124,150792
2017- Apr,49994,34465,15011,3321,39038,141829
2017- May,49332,51232,14848,3322,24515,143249
2017- Jun,46803,53913,15246,3314,29638,148914
2017- Jul,48979,119739,15337,3309,30523,217887
2017- Aug,49902,50247,15636,3304,39166,158255
2017- Sep,49405,56568,15578,3298,18620,143469
2017- Oct,49386,33699,15412,3292,33390,135179
2017- Nov,50174,63562,15502,3290,36426,168954
2017- Dec,47019,63107,14314,3267,58030,185737
2018- Jan,50979,96216,15176,3288,30467,196126
2018- Feb,50275,67253,15700,3286,30328,166842
2018- Mar,50896,57388,15512,3284,37482,164562
2018- Apr,58084,50688,16441,3284,29939,158436
2018- May,52899,62403,15701,3281,24678,158962
2018- Jun,53350,57520,16178,3280,20368,150695
2018- Jul,54515,117309,16453,3268,31652,223196
2018- Aug,54273,59684,16440,3257,32079,165733
2018- Sep,44599,98764,16563,3251,30031,193207
2018- Oct,52876,54006,16540,3269,46037,172727
2018- Nov,55201,88027,17006,3261,37063,200558
2018- Dec,48099,42932,16785,3231,27623,138669
2019- Jan,54008,109387,17104,3254,29242,212995
2019- Feb,54702,49396,18658,3252,40072,166081
2019- Mar,55211,81837,18975,3251,37664,196937
2019- Apr,54521,56440,19282,3246,41034,174523
2019- May,55063,98813,13475,3241,37670,208262
2019- Jun,56910,58776,18647,3237,23910,161480
2019- Jul,57758,106902,18181,3232,37377,223450
2019- Aug,58277,38061,19189,4324,36955,156806
2019- Sep,59669,109920,20229,4429,35079,229326
2019- Oct,59474,55043,20570,4392,42075,181553
2019- Nov,59235,82866,21684,4436,34368,202590
2019- Dec,61624,53911,21675,4366,45576,187152
